obj_id,subj,trial,syll,series,max_f0,min_f0,duration,condition
124_18,124,18,dHi,75,241.98114684240437,109.83288172625251,179.99999999999994,negob
117_04,117,04,pER,5,411.92274521102837,230.76464270864665,168.4600636001951,nc
117_04,117,04,sOn,15,527.0597029952019,244.62881369549677,230.00000000000003,nc
117_04,117,04,n@,25,244.62881369549677,223.81466061003786,79.99999999999996,nc
117_04,117,04,fE,35,244.38118461317768,223.15047768629194,160.00000000000003,nc
117_04,117,04,Rje~,45,237.05160421946672,226.58955499962545,209.99999999999997,nc
117_04,117,04,d@,55,231.9707225983326,216.1158746047052,120,nc
117_04,117,04,OR,65,299.14496388240235,217.07509376349677,449.99999999999983,nc
115_22,115,22,le,5,210.70498713209892,194.14289296609368,60,negob
115_22,115,22,Za~,15,219.8124299534175,196.81687271928845,139.99999999999997,negob
115_22,115,22,n@,25,219.23761870553196,189.08059097180123,120.00000000000006,negob
115_22,115,22,ma~Z,35,477.4625996629447,177.37559378810337,190,negob
115_22,115,22,Rje~,45,481.3003187672098,184.64918025624638,260,negob
115_22,115,22,l@,55,226.39692453678208,190.86823626727977,89.99999999999997,negob
115_22,115,22,swaR,65,190.86823626727977,190.8637119677709,459.99999999999994,negob
101_31,101,31,pER,5,264.9779161791747,198.00084237821017,123.29928582521418,negsub
101_31,101,31,sOn,15,291.275007064356,220.41930559374504,317.097388459998,negsub
101_31,101,31,n@,25,220.41930559374504,185.25377360890448,120.00000000000006,negsub
101_31,101,31,mE,35,185.25377360890448,166.62590433014364,129.9999999999999,negsub
101_31,101,31,sa,45,220.8476468238979,166.9616284084395,210.00000000000009,negsub
101_31,101,31,a,55,196.76788514735375,161.0367286547982,49.999999999999936,negsub
101_31,101,31,le,65,187.5536942446865,158.41236490734426,130,negsub
101_31,101,31,gliz,75,230.69314746933466,169.2680416909663,379.9999999999999,negsub
100_10,100,10,pER,5,194.39952789011,179.76891347901906,113.66774777131153,dn
100_10,100,10,sOn,15,225.7071617480301,194.39952789011,222.99101440746304,dn
100_10,100,10,n@,25,205.70799839181163,152.27597539752645,90.00000000000003,dn
100_10,100,10,bwa,35,165.5123023948625,128.05669133828948,199.99999999999994,dn
100_10,100,10,Rje~,45,173.88349049510916,128.95865916690795,260,dn
100_10,100,10,da~,55,171.55022565317464,142.09502300106152,130,dn
100_10,100,10,le,65,142.09502300106152,139.94578612414134,89.99999999999986,dn
100_10,100,10,swa,75,141.06044189643066,118.90535450403591,250,dn
100_10,100,10,Re,85,123.51924012246174,117.13630267733474,170.00000000000014,dn
116_13,116,13,pER,5,254.78066232555972,131.666891808419,110.38080218692214,dn
116_13,116,13,sOn,15,307.5070326171113,246.8475028555144,215.84114656892012,dn
116_13,116,13,n@,25,266.3045967812915,214.03032165422343,89.99999999999997,dn
116_13,116,13,li,35,214.03032165422343,197.51961208958778,130.00000000000006,dn
116_13,116,13,Rje~,45,260.12236559018163,200.65427767943868,250,dn
116_13,116,13,puR,55,265.7740336976125,216.38752925016394,169.99999999999994,dn
116_13,116,13,l9R,65,216.38752925016394,191.64291543477918,109.99999999999999,dn
116_13,116,13,klas,75,191.64291543477918,183.19298256237306,409.99999999999994,dn
101_27,101,27,pER,5,276.378108925323,276.378108925323,119.52871377700036,negsub
101_27,101,27,sOn,15,276.378108925323,221.75142545907585,268.0787118868382,negsub
101_27,101,27,n@,25,221.75142545907585,188.63182827181473,99.99999999999997,negsub
101_27,101,27,di,35,190.7634747828111,182.57900799841974,180.00000000000006,negsub
101_27,101,27,mo,45,249.44624465665356,180.98612434951303,209.99999999999997,negsub
101_27,101,27,pa~,55,217.07649288841412,89.1401132462637,179.99999999999994,negsub
101_27,101,27,da~,65,124.96080361586296,84.03525735511477,129.9999999999999,negsub
101_27,101,27,y,75,287.73859549787943,260.328990632887,69.99999999999984,negsub
101_27,101,27,n9R,85,260.328990632887,170.23320282130152,350.0000000000001,negsub
126_32,126,32,pER,5,126.68902583765642,119.48024007500469,123.87520420562784,negsub
126_32,126,32,sOn,15,138.78090320191032,123.11852406643824,280.656551778864,negsub
126_32,126,32,n@,25,123.11852406643824,105.92563708660246,80.00000000000001,negsub
126_32,126,32,vwa,35,105.92563708660246,100.4183802349847,160.00000000000003,negsub
126_32,126,32,sa,45,125.67848893405,104.68459637694353,199.99999999999994,negsub
126_32,126,32,i,55,126.11626246156324,103.35476144159688,99.99999999999997,negsub
126_32,126,32,si,65,103.6559727362472,103.6559727362472,229.99999999999986,negsub
126_10,126,10,pER,5,136.05448922781258,132.17761958435793,147.35254837582445,dn
126_10,126,10,sOn,15,151.60431124046542,124.2968166345446,319.6387550778236,dn
126_10,126,10,n@,25,124.2968166345446,109.00951077248332,80.00000000000007,dn
126_10,126,10,bwa,35,112.54402485873594,101.82789176946183,189.99999999999994,dn
126_10,126,10,Rje~,45,131.98576587486184,107.38849077267417,269.9999999999999,dn
126_10,126,10,da~,55,132.60828170298564,102.16273848801464,139.99999999999991,dn
126_10,126,10,le,65,102.16273848801464,97.60658683176459,90.00000000000009,dn
126_10,126,10,swa,75,112.1316290973686,98.4852289843244,229.99999999999997,dn
126_10,126,10,Re,85,104.25634394520958,97.86000983975418,150.00000000000014,dn
126_28,126,28,pER,5,128.22698965743456,121.15684029196896,113.71659596438458,negsub
126_28,126,28,sOn,15,148.29381405010506,128.22698965743456,245.56898228560453,negsub
126_28,126,28,n@,25,129.93128803394904,101.17941868199743,90.00000000000003,negsub
126_28,126,28,fE,35,101.17941868199743,96.9630224862443,139.99999999999997,negsub
126_28,126,28,sa,45,128.86000770477082,98.35579570289939,200.00000000000006,negsub
126_28,126,28,l@,55,128.29829002021364,100.8036359917962,120,negsub
126_28,126,28,di,65,101.68690879729665,95.55357027211757,209.99999999999974,negsub
