subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
101	22	V	3.555	Critical3 NegOb	negob	V	T	19	0
101	23	V	6.42	Critical3 NegOb	negob	V	T	35	0
101	24	F	5.562	Critical3 NegOb	negob	F	T	38	0
101	25	V	5.802	Critical4 NegSub	negsub	V	T	8	0
101	26	F	5.674	Critical4 NegSub	negsub	F	T	32	0
101	27	V	5.026	Critical4 NegSub	negsub	V	T	29	0
101	28	V	8.77	Critical4 NegSub	negsub	V	T	17	0
101	29	V	8.034	Critical4 NegSub	negsub	V	T	2	0
101	30	F	5.722	Critical4 NegSub	negsub	F	T	39	0
101	31	F	3.85	Critical4 NegSub	negsub	F	T	21	0
101	32	F	5.476	Critical4 NegSub	negsub	F	T	13	0
101	33	F	3.97	Control	filler	F	T	37	0
101	34	V	8.921	Control	filler	V	T	1	0
101	35	F	3.81	Control	filler	F	T	28	0
101	36	F	4.138	Control	filler	F	T	11	0
101	37	V	4.3	Control	filler	V	T	7	0
101	38	F	2.506	Control	filler	F	T	20	0
101	39	V	4.395	Control	filler	V	T	25	0
101	40	V	3.25	Control	filler	V	T	31	0
